name,Food Group,Fat (g),Protein (g),Carbohydrate (g),Serving Weight 1 (g)
Squash Indian Cooked Boiled (Navajo),American Indian,0.15,0.31,3.22,28.4
Bread Kneel Down (Navajo),American Indian,2.21,4.29,39.47,28.4
Mutton Cooked Roasted (Navajo),American Indian,11.09,33.43,0.08,28.4
Frybread Made With Lard (Navajo),American Indian,12.22,6.69,48.26,152.0
Tamales (Navajo),American Indian,6.12,6.28,18.12,186.0
Corn Dried Yellow (Northern Plains Indians),American Indian,10.64,14.48,66.27,28.4
On The Border Soft Taco With Ground Beef Cheese And Lettuce,Restaurant Foods,11.05,13.19,19.28,324.0
Restaurant Mexican Soft Taco With Ground Beef Cheese And Lettuce,Restaurant Foods,10.81,12.56,17.92,281.0
Restaurant Latino Chicken And Rice Entree Prepared,Restaurant Foods,5.06,12.02,20.03,141.0
Restaurant Latino Empanadas Beef Prepared,Restaurant Foods,18.37,11.31,31.19,89.0
Restaurant Latino Pupusas Con Frijoles (Pupusas Bean),Restaurant Foods,9.01,5.59,31.49,126.0
Restaurant Latino Pupusas Con Queso (Pupusas Cheese),Restaurant Foods,13.25,11.72,22.39,117.0
Restaurant Latino Pupusas Del Cerdo (Pupusas Pork),Restaurant Foods,10.43,11.51,23.02,122.0
Restaurant Latino Tamale Corn,Restaurant Foods,7.21,3.48,26.68,166.0
Restaurant Mexican Spanish Rice,Restaurant Foods,5.29,3.28,31.16,116.0
Restaurant Mexican Refried Beans,Restaurant Foods,6.77,6.91,16.79,148.0
Restaurant Chinese Egg Rolls Assorted,Restaurant Foods,11.94,8.28,27.29,89.0
Restaurant Chinese Fried Rice Without Meat,Restaurant Foods,2.96,4.05,32.79,137.0
Cracker Barrel Steak Fries,Restaurant Foods,13.18,3.26,30.87,198.0
Cracker Barrel Grilled Sirloin Steak,Restaurant Foods,8.52,31.52,0.0,151.0
Cracker Barrel Macaroni N Cheese Plate From Kids Menu,Restaurant Foods,11.51,6.46,15.58,257.0
Dennys French Fries,Restaurant Foods,14.13,3.41,35.2,165.0
Dennys Top Sirloin Steak,Restaurant Foods,7.34,28.9,0.14,107.0
Restaurant Chinese Lemon Chicken,Restaurant Foods,13.55,11.87,20.61,623.0
Restaurant Chinese General Tsos Chicken,Restaurant Foods,16.36,12.9,23.99,535.0
Restaurant Chinese Kung Pao Chicken,Restaurant Foods,6.98,9.76,6.87,604.0
Restaurant Chinese Vegetable Lo Mein Without Meat,Restaurant Foods,2.35,4.77,20.16,741.0
Restaurant Chinese Chicken And Vegetables,Restaurant Foods,4.56,8.18,5.38,693.0
Restaurant Chinese Orange Chicken,Restaurant Foods,12.68,14.46,22.46,648.0
Restaurant Italian Spaghetti With Meat Sauce,Restaurant Foods,3.59,5.79,16.4,554.0
Yeast Extract Spread,Soups and Sauces,0.9,23.88,20.42,6.0
Tortilla Includes Plain And From Mutton Sandwich (Navajo),American Indian,0.95,7.28,49.94,197.0
Stew Dumpling With Mutton (Navajo),American Indian,3.78,8.71,8.03,308.0
Stew Hominy With Mutton (Navajo),American Indian,2.06,6.71,9.38,411.0
Stew Mutton Corn Squash (Navajo),American Indian,4.34,8.62,7.27,303.0
Restaurant Italian Chicken Parmesan Without Pasta,Restaurant Foods,10.64,16.17,10.92,301.0
