name,Food Group,Fat (g),Protein (g),Carbohydrate (g),Serving Weight 1 (g)
Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Baked Foods,13.24,5.88,41.18,34.0
Pillsbury Cinnamon Rolls With Icing Refrigerated Dough,Baked Foods,11.27,4.34,53.42,44.0
Kraft Foods Shake N Bake Original Recipe Coating For Pork Dry,Baked Foods,3.7,6.1,79.8,28.0
George Weston Bakeries Thomas English Muffins,Baked Foods,1.8,8.0,46.0,57.0
Waffles Buttermilk Frozen Ready-To-Heat,Baked Foods,9.22,6.58,41.05,39.0
Waffle Buttermilk Frozen Ready-To-Heat Toasted,Baked Foods,9.49,7.42,48.39,28.0
Waffle Buttermilk Frozen Ready-To-Heat Microwaved,Baked Foods,9.4,6.92,44.16,35.0
Waffle Plain Frozen Ready-To-Heat Microwave,Baked Foods,9.91,6.71,45.41,32.0
Pie Crust Cookie-Type Graham Cracker Ready Crust,Baked Foods,24.83,5.1,64.3,28.4
Pie Crust Cookie-Type Chocolate Ready Crust,Baked Foods,22.42,6.08,64.48,182.0
Dutch Apple Pie,Baked Foods,11.5,2.17,44.54,131.0
Pie Crust Deep Dish Frozen Unbaked Made With Enriched Flour,Baked Foods,28.74,5.52,46.79,225.0
Waffles Chocolate Chip Frozen Ready-To-Heat,Baked Foods,10.1,5.8,45.68,70.0
Tostada Shells Corn,Baked Foods,23.38,6.15,64.43,12.3
Bread Salvadoran Sweet Cheese (Quesadilla Salvadorena),Baked Foods,17.12,7.12,47.84,55.0
Bread Pound Cake Type Pan De Torta Salvadoran,Baked Foods,17.45,7.06,51.29,55.0
Pastry Pastelitos De Guava (Guava Pastries),Baked Foods,18.5,5.48,47.76,86.0
Crackers Snack Goya Crackers,Baked Foods,13.35,14.25,64.35,30.0
Crackers Cream Gamesa Sabrosas,Baked Foods,20.37,7.01,64.55,31.0
Crackers Cream La Moderna Rikis Cream Crackers,Baked Foods,19.5,7.19,64.88,32.0
Bread White Wheat,Baked Foods,2.15,10.66,43.91,28.0
Bagels Wheat,Baked Foods,1.53,10.2,48.89,98.0
Cream Puff Eclair Custard Or Cream Filled Iced,Baked Foods,18.52,4.41,37.43,113.0
Tortillas Ready-To-Bake Or -Fry Flour Shelf Stable,Baked Foods,7.58,8.01,49.27,49.0
Snacks Beef Jerky Chopped And Formed,Snacks,25.6,33.2,11.0,28.4
Snacks Corn-Based Extruded Chips Plain,Snacks,33.36,6.17,57.27,28.0
Snacks Corn-Based Extruded Chips Barbecue-Flavor,Snacks,32.7,7.0,56.2,28.4
Snacks Corn-Based Extruded Cones Plain,Snacks,26.9,5.8,62.9,28.4
Snacks Fruit Leather Pieces,Sweets,2.68,1.0,82.82,28.4
Snacks Fruit Leather Rolls,Sweets,3.0,0.1,85.8,21.0
Snacks Granola Bars Hard Plain,Snacks,19.8,10.1,64.4,21.0
Snacks Granola Bars Hard Almond,Snacks,25.5,7.7,62.0,28.4
Snacks Granola Bars Soft Uncoated Raisin,Snacks,17.8,7.6,66.4,43.0
Snacks Granola Bars Soft Coated Milk Chocolate Coating Chocolate Chip,Snacks,24.9,5.8,63.8,35.0
Snacks Granola Bars Soft Coated Milk Chocolate Coating Peanut Butter,Snacks,31.1,10.2,53.4,28.4
Snacks Granola Bars Soft Uncoated Peanut Butter And Chocolate Chip,Snacks,20.0,9.8,62.2,28.0
Snacks Popcorn Oil-Popped Microwave Regular Flavor No Trans Fat,Snacks,43.55,7.29,45.06,11.0
Snacks Popcorn Cakes,Snacks,3.1,9.7,80.1,10.0
Snacks Popcorn Caramel-Coated With Peanuts,Snacks,7.8,6.4,80.7,28.4
Snacks Popcorn Caramel-Coated Without Peanuts,Snacks,12.8,3.8,79.1,28.4
Snacks Potato Chips Made From Dried Potatoes Reduced Fat,Snacks,26.14,4.56,64.76,28.4
Snacks Potato Chips Made From Dried Potatoes Sour-Cream And Onion-Flavor,Snacks,37.0,6.6,51.3,28.4
Snacks Pretzels Hard Plain Salted,Snacks,2.93,10.04,80.39,28.4
Snacks Pretzels Hard Confectioners Coating Chocolate-Flavor,Snacks,16.7,7.5,70.9,28.4
Snacks Rice Cakes Brown Rice Sesame Seed,Snacks,3.8,7.6,81.5,9.0
Snacks Tortilla Chips Plain White Corn Salted,Snacks,20.68,7.1,67.78,28.4
Snacks Tortilla Chips Nacho Cheese,Snacks,27.42,7.36,60.81,28.4
Snacks Tortilla Chips Ranch-Flavor,Snacks,24.63,7.19,62.74,28.4
Snacks Trail Mix Regular,Snacks,29.4,13.8,44.9,150.0
Almond Joy Candy Bar,Sweets,26.93,4.13,59.51,49.0
Twizzlers Cherry Bites,Sweets,1.7,2.97,79.38,40.0
Nestle Bit-O-Honey Candy Chews,Sweets,7.5,2.0,80.89,40.0
Nestle Butterfinger Bar,Sweets,18.9,5.4,72.9,60.0
Caramels Chocolate-Flavor Roll,Sweets,3.31,1.59,87.73,6.6
Baking Chocolate Unsweetened Liquid,Sweets,47.7,12.1,36.2,28.4
Unsweetened Baking Chocolate,Sweets,52.31,14.32,28.42,29.0
Confectioners Coating Yogurt,Sweets,27.0,5.87,63.94,170.0
